Total_epoch:1000
link:603 Epoch:0372cost =0.039618161; MAPE0.999989220
link:603 Epoch:0373cost =0.040067509; MAPE0.999989457
link:603 Epoch:0374cost =0.039079618; MAPE0.999988805
link:603 Epoch:0375cost =0.039322056; MAPE0.999988651
link:603 Epoch:0376cost =0.039308049; MAPE0.999989196
link:603 Epoch:0377cost =0.039434124; MAPE0.999989163
link:603 Epoch:0378cost =0.039493024; MAPE0.999989565
link:603 Epoch:0379cost =0.040866092; MAPE0.999960455
link:603 Epoch:0380cost =0.039667167; MAPE0.999978209
link:603 Epoch:0381cost =0.040292457; MAPE0.999939525
link:603 Epoch:0382cost =0.040947899; MAPE0.999956193
link:603 Epoch:0383cost =0.040556729; MAPE0.999979680
link:603 Epoch:0384cost =0.039785799; MAPE0.999982415
link:603 Epoch:0385cost =0.039396595; MAPE0.999985695
link:603 Epoch:0386cost =0.039704785; MAPE0.999986266
link:603 Epoch:0387cost =0.039584018; MAPE0.999985535
link:603 Epoch:0388cost =0.039917082; MAPE0.999986536
link:603 Epoch:0389cost =0.039292410; MAPE0.999987825
link:603 Epoch:0390cost =0.039420519; MAPE0.999987860
link:603 Epoch:0391cost =0.039458629; MAPE0.999988155
link:603 Epoch:0392cost =0.039786585; MAPE0.999988141
link:603 Epoch:0393cost =0.039132059; MAPE0.999988161
link:603 Epoch:0394cost =0.039383154; MAPE0.999988020
link:603 Epoch:0395cost =0.039410125; MAPE0.999987994
link:603 Epoch:0396cost =0.040151700; MAPE0.999987806
link:603 Epoch:0397cost =0.039154723; MAPE0.999987708
link:603 Epoch:0398cost =0.039309017; MAPE0.999987722
link:603 Epoch:0399cost =0.039908584; MAPE0.999987577
link:603 Epoch:0400cost =0.039203331; MAPE0.999987447
link:603 Epoch:0401cost =0.039214108; MAPE0.999987380
link:603 Epoch:0402cost =0.039393209; MAPE0.999987136
link:603 Epoch:0403cost =0.040145058; MAPE0.999987206
link:603 Epoch:0404cost =0.039139770; MAPE0.999986997
link:603 Epoch:0405cost =0.039310444; MAPE0.999987063
link:603 Epoch:0406cost =0.039935980; MAPE0.999986018
link:603 Epoch:0407cost =0.039212376; MAPE0.999987095
link:603 Epoch:0408cost =0.039230488; MAPE0.999987229
link:603 Epoch:0409cost =0.039146367; MAPE0.999986692
link:603 Epoch:0410cost =0.039170798; MAPE0.999987025
link:603 Epoch:0411cost =0.039146189; MAPE0.999987094
link:603 Epoch:0412cost =0.039401151; MAPE0.999986644
link:603 Epoch:0413cost =0.040167265; MAPE0.999986556
link:603 Epoch:0414cost =0.040764768; MAPE0.999986907
link:603 Epoch:0415cost =0.040163483; MAPE0.999986717
link:603 Epoch:0416cost =0.039348587; MAPE0.999987047
